rank,user,time
1,Lars,11.821
2,F9.Marius89,11.956
3,Imperator,11.992
4,isfoo,11.998
5,Surgetale,12.037
6,Zeemuis,12.299
7,shorty,12.368
8,Soulbour,12.669
9,Smithy,12.682
10,Jaszunio15,12.735
11,Nilleeni,12.852
12,Tekky,12.94
13,Maxchess67,12.958
14,StratosDa,12.958
15,Firestorrm,12.964
16,Denniss,12.997
17,GranaDy,13.09
18,Lueces,13.142
19,MrSwe1999,13.274
20,Rockskater89,13.288
21,CptSalmon,13.326
22,Gazorpalse,13.428
23,LoonTM,13.433
24,Kubas,13.437
25,kiloudu14,13.674
26,alekbees,13.693
27,coroqui,13.794
28,Jumper471,13.991
29,DjangVo,14.05
30,Funnypilz,14.068
31,Tenshi,14.407
32,LeoHi_93,14.419
33,onion.tm,14.46
34,MenTozTV,15.08
35,SparkSheep,15.196
36,PorkyP,15.428
37,Domino Marama,15.503
38,socramdavid,15.663
39,ArEyeses,15.692
40,chybrydra,15.736
41,SolidTux05,15.759
42,kamcisz,15.78
43,Archoll,15.79
44,Noobbcp,15.899
45,spemeri,16.171
46,Maji,16.499
47,314yas,16.766
48,FabinShain,16.953
49,Mac_Ancheez,16.969
50,TheMaster1127,17.19
51,Megaadri,17.23
52,EnYgMa21,17.411
53,Suudo_w,17.492
54,mel.martinez.,17.955
55,Robofish43,17.993
56,isigold,18.99
57,psychicducks,19.86
58,Sonix Highways,21.47
59,AwesomeTom,22.07
60,Serderf,23.124
61,armagic,24.803
62,prohjort,36.332
63,doomy64,39.918